Lvl,Spell,Ritual,Concentration,Range,"V,S,M",School,Casting Time,Description
3,Plant Growth,,,150 ft,"V,S",transmutation,1 action or 8 hours,"Plants in the area grow vigorously, or over a year the plants produce twice the normal amount of food."
0,Poison Spray,,,10 ft,"V,S",conjuration,1 action,The target must succeed on a Con. save or take 1d12 poison damage (damage/lvl).
4,Polymorph,,Concentration,60 ft,"V,S,M",transmutation,1 action,Transform a target into a new beast form whose CR/level is equal to or less than the target's CR/level.
9,Power Word Heal,,,Touch,"V,S",evocation,1 action,"The target regains all its hp and charmed, frightened, paralyzed, and stunned conditions end."
9,Power Word Kill,,,60 ft,V,enchantment,1 action,The target (100 hp or fewer) dies!
7,Power Word Pain,,,60 ft,V,enchantment,1 action,"The target (100 hp max) has its speed reduced to 10 ft, disadvantage to d20 rolls and has to make a Con. save to cast spells."
8,Power Word Stun,,,60 ft,V,enchantment,1 action,The target (150 hp or fewer) is stunned until it succeeds on a Con. save.
2,Prayer of Healing,,,30 ft,V,evocation,10 minutes,Up to 6 creatures regain 2d8+Ability.Mod (+1d8 hp/lvl).
0,Prestidigitation,,,10 ft,"V,S",transmutation,1 action,"Minor magical trick (sensory effect, light a torch, clean an object, warm, make a symbol appear, create a trinket, etc)."
0,Primal Savagery,,,Self,S,transmutation,1 action,"If the melee spell attack hits, deals 1d10 acid damage (damage/lvl)."
6,Primordial Ward,,Concentration,Self,"V,S",abjuration,1 action,"The caster gets resistance to acid, cold, fire, lightning, and thunder damage or immunity to a single type."
7,Prismatic Spray,,,Self (60-ft cone),"V,S",evocation,1 action,Creatures in a 60-ft cone must succeed on a Dex. save or take 10d6 damage of a randomly determined type.
9,Prismatic Wall,,,60 ft,"V,S",abjuration,1 action,Create a multi-layered wall that inflicts different effects and damage depending on the layer.
0,Produce Flame,,,Self,"V,S",conjuration,1 action,"If the spell attack hits, deals 1d8 fire damage (damage/lvl). Shed bright light in 10 ft and dim light in additional 10 ft."
6,Programmed Illusion,,,120 ft,"V,S,M",illusion,1 action,"Create the image of an animated object or creature, with sounds, for 5 min, with a triggering condition."
7,Project Image,,Concentration,500 miles,"V,S,M",illusion,1 action,"Create a copy of the caster that mimics him, moves and emits sounds. The caster can see and hear through this double."
3,Protection from Energy,,Concentration,Touch,"V,S",abjuration,1 action,"The target gains resistance to one damage type (acid, cold, fire, lightning, or thunder)."
1,Protection from Evil and Good,,Concentration,Touch,"V,S,M",abjuration,1 action,"The target is protected (disadvantage on attack rolls) against aberrations, celestials, elementals, fey, fiends, and undead."
2,Protection from Poison,,,Touch,"V,S",abjuration,1 action,"Neutralize 1 poison in one creature, give advantage on saving throws againt being poisoned, and resistance to poison damage."
9,Psychic Scream,,,90 ft,S,enchantment,1 action,Up to 10 creatures must succeed on an Int. save or take 14d6 psychic damage.
1,Purify Food and Drink,Ritual,,10 ft,"V,S",transmutation,1 action,Purified and rendered free of poison and disease nonmagical food and drink in a 5-ft-radius sphere.
2,Pyrotechnics,,,60 ft,"V,S",transmutation,1 action,Target flame within 60-ft and make them explode (Con. save or blinded) or spread smoke (heavily obscured).
5,Raise Dead,,,Touch,"V,S,M",necromancy,1 hour,Take back to life (1 hp) a creature died for no longer than 10 days. Doesn't restore missing body parts.
5,Rary's Telepathic Bond,Ritual,,30 ft,"V,S,M",divination,1 action,Create a telepathic link between up to 8 people in a 30-ft radius for 1 hour.
2,Ray of Enfeeblement,,Concentration,60 ft,"V,S",necromancy,1 action,"If the spell attack hits, the target deals only half damage with a weapon attack that use Strength (Con. save)."
0,Ray of Frost,,,60 ft,"V,S",evocation,1 action,"If the spell attack hits, deals 1d8 cold damage (damage/lvl) and the target's speed is reduced by 10 ft."
1,Ray of Sickness,,,60 ft,"V,S",necromancy,1 action,"If the attack hits, deals 2d8 poison damage (damage/lvl) and the target can be poisoned (Con. save)."
7,Regenerate,,,Touch,"V,S,M",transmutation,1 minute,The target regains 4d8+15 hp then 1 hp per round and its severed members are restored.
5,Reincarnate,,,Touch,"V,S,M",transmutation,1 hour,Reincarnate the soul of a humanoid died for no longer than 10 days. The race of the new body is determined at random.
3,Remove Curse,,,Touch,"V,S",abjuration,1 action,End all curses affecting one creature or object.
0,Resistance,,Concentration,Touch,"V,S,M",abjuration,1 action,The target can add 1d4 to one saving throw of its choice.
7,Resurrection,,,Touch,"V,S,M",necromancy,1 hour,Take back to life (all hp) a creature died for no longer than 100 years (except of old age). Restore any missing body parts.
7,Reverse Gravity,,Concentration,100 ft,"V,S,M",transmutation,1 action,"Invert gravity in a 50-ft-radius, 100-ft-high cylinder."
3,Revivify,,,Touch,"V,S,M",necromancy,1 action,Take back to 1 hp a creature that has died within the last minute (except of old age).
2,Rope Trick,,,Touch,"V,S,M",transmutation,1 action,Vertically raise a rope that lead to an extradimensional space that can hold 8 Medium creatures.
0,Sacred Flame,,,60 ft,"V,S",evocation,1 action,The target must succeed on a Dex. save or take 1d8 radiant damage (damage/lvl).
1,Sanctuary,,,30 ft,"V,S,M",abjuration,1 bonus action,The protected creature forces a Wis. save to his aggressor in case of attack or offensive spell to no longer be the target.
6,Scatter,,,30 ft,V,conjuration,1 action,Up to 5 creatures are teleported (Wis. save if unwilling) within 120 ft.
2,Scorching Ray,,,120 ft,"V,S",evocation,1 action,"If the spell attacks hit, 3 rays deal 2d6 fire damage each (+1 ray/lvl)."
5,Scrying,,Concentration,Self,"V,S,M",divination,10 minutes,Allow you to see and hear a specific creature (can also target a location) on the same plane (Wis. save).
1,Searing Smite,,Concentration,Self,V,evocation,1 bonus action,"If the attack hits, deals an extra 1d6 fire damage and ignite the target (damage/lvl)."
2,See Invisibility,,,Self,"V,S,M",divination,1 action,"The caster sees invisible creatures and objects, and into the Ethereal Plane."
5,Seeming,,,30 ft,"V,S",illusion,1 action,Change physical appearance as well as clothing and equipment of targets (saving throw for unwilling).
3,Sending,,,Unlimited,"V,S,M",evocation,1 action,"Send a 25-words message to a creature you are familiar with, regardless of the distance or the plan. It can answer it."
7,Sequester,,,Touch,"V,S,M",transmutation,1 action,Protect a willing creature (who becomes invisible and unconscious) or an object from divination spells.
2,Shadow Blade,,Concentration,Self,"V,S",illusion,1 bonus action,"Create a weapon that deals 2d8 psychic damage with the finesse, light, and thrown properties (damage/lvl)."
4,Shadow of Moil,,Concentration,Self,"V,S,M",necromancy,1 action,Tha caster gains resistance to radiant damage and deals 2d8 necrotic damage to creatures that hit him with an attack.
0,Shape Water,,,30 ft,S,transmutation,1 action,"Control water to obtain various minor effects such as changing color, freezing, changing the flow, etc."
9,Shapechange,,Concentration,Self,"V,S,M",transmutation,1 action,The caster takes the form of a creature he has seen at least once with a CR equal to its level or lower.
2,Shatter,,,60 ft,"V,S,M",evocation,1 action,Creatures in a 10-ft-radius sphere must succeed on a Con. save or take 3d8 thunder damage (damage/lvl).
1,Shield,,,Self,"V,S",abjuration,1 reaction,"In reaction, the caster gains a +5 bonus to AC and take no damage from the magic missile spell."
1,Shield of Faith,,Concentration,60 ft,"V,S,M",abjuration,1 bonus action,The target gets a +2 bonus to AC.
0,Shillelagh,,,Touch,"V,S,M",transmutation,1 bonus action,Make magical a wooden weapon. Its damage become a d8 and the caster can use his spellcasting ability instead of Strength.
0,Shocking Grasp,,,Touch,"V,S",evocation,1 action,"If the spell attack hits, deals 1d8 lightning damage (damage/lvl) and the target can't take reactions."
4,Sickening Radiance,,Concentration,120 ft,"V,S",evocation,1 action,Creatures in a 30-ft radius must succeed on a Con. save or take 4d10 radiant damage and one level of exhaustion.
2,Silence,Ritual,Concentration,120 ft,"V,S",illusion,1 action,Block all sounds within a 20-ft-radius sphere.
1,Silent Image,,Concentration,60 ft,"V,S,M",illusion,1 action,Create the image of an object or a creature (without sound and no larger than a 15-ft cube) and lets it move.
7,Simulacrum,,,Touch,"V,S,M",illusion,12 hours,"Create a duplicate of a beast or humanoid with the same abilities, half of the hp and without equipment."
5,Skill Empowerment,,Concentration,Touch,"V,S",transmutation,1 action,The target doubles its proficiency bonus for one skill.
2,Skywrite,Ritual,Concentration,Sight,"V,S",transmutation,1 action,Create up to 10 words in the clouds.
1,Sleep,,,90 ft,"V,S,M",enchantment,1 action,"5d8 hp of creatures fall unconscious, starting with the creature with the lowest current hp (+2d8 hp/lvl)."
3,Sleet Storm,,Concentration,150 ft,"V,S,M",conjuration,1 action,"Creatures in a 20-ft-radius, 20-ft-tall cylinder (heavily obscured) must succeed on a Dex. save or fall prone."
3,Slow,,Concentration,120 ft,"V,S,M",transmutation,1 action,"Up to 6 targets must succeed on a Wis. save, or have their speed and actions reduced and -2 to CA and Dex. saves."
1,Snare,,,Touch,"S,M",abjuration,1 minute,Create a magic trap (Dex. save or the Small to Large size creature is hoisted into the air).
2,Snilloc's Snowball Swarm,,,90 ft,"V,S,M",evocation,1 action,Creatures in a 5-ft-radius sphere must succeed on a Dex. save or take 3d6 cold damage (damage/lvl).
6,Soul Cage,,,60 ft,"V,S,M",necromancy,1 reaction,"Snatch a soul to regain hp, ask it a question, get advantage to a roll, or see a place it saw in life."
0,Spare the Dying,,,Touch,"V,S",necromancy,1 action,1 living creature with 0 hit points becomes stable.
1,Speak with Animals,Ritual,,Self,"V,S",divination,1 action,The caster communicates with beats that can share information or help.
3,Speak with Dead,,,10 ft,"V,S,M",necromancy,1 action,Allow a corpse that still has a mouth and is not an undead to answer 5 questions to the caster.
3,Speak with Plants,,,Self (30-ft radius),"V,S",transmutation,1 action,"The caster can communicate with plants within 30 ft, and turns difficult terrain into ordinary terrain or vice versa."
2,Spider Climb,,Concentration,Touch,"V,S,M",transmutation,1 action,The target can move along vertical surfaces while leaving its hands free and gains climbing speed.
2,Spike Growth,,Concentration,150 ft,"V,S,M",transmutation,1 action,Creatures in a 20-ft radius (difficult terrain) take 2d4 piercing damage for every 5 ft of movement.
3,Spirit Guardians,,Concentration,Self (15-ft radius),"V,S,M",conjuration,1 action,Targets in a 15-ft radius must succeed on a Wis. save or take 3d8 radiant or necrotic damage (damage/lvl).
3,Spirit Shroud,,Concentration,Self,"V,S",necromancy,1 bonus action,"If the attack hits, deals an extra 1d8 radiant, necrotic, or cold damage. Target can't regain hp this turn (damage/lvl)."
2,Spiritual Weapon,,,60 ft,"V,S",evocation,1 bonus action,"If the spell attack hits, deals 1d8+Ability.Mod force damage (damage/lvl). A bonus action allows another attack."
4,Staggering Smite,,Concentration,Self,V,evocation,1 bonus action,"If the attack hits, deals an extra 4d6 pyschic damage and the target must succeed on a Wis. save or have a disadvantage."
5,Steel Wind Strike,,,30 ft,"S,M",conjuration,1 action,"If the spell attack hits, deals 6d10 force damage to 5 creatures, then the caster teleports."
3,Stinking Cloud,,Concentration,90 ft,"V,S,M",conjuration,1 action,Creatures in a 20-ft-radius sphere must succeed on a Con. save or spend their action that turn retching and reeling.
4,Stone Shape,,,Touch,"V,S,M",transmutation,1 action,"Give a stone no more than 5 ft in any dimension any shape, or create an opening in it."
4,Stoneskin,,Concentration,Touch,"V,S,M",abjuration,1 action,"The target gets resistance to nonmagical bludgeoning, piercing, and slashing damage."
9,Storm of Vengeance,,Concentration,Sight,"V,S",conjuration,1 action,Creatures in a 360-ft radius must succeed on a Con. save or be deafened and suffer various damage and effects.
4,Storm Sphere,,Concentration,150 ft,"V,S",evocation,1 action,Creatures in a 20-ft-radius sphere must succeed on a Str. save or take 2d6 bludgeoning damage (damage/lvl).
2,Suggestion,,Concentration,30 ft,"V,M",enchantment,1 action,The target must succeed on a Wis. save or follow the suggestion given by the caster in one or two sentences.
4,Summon Aberration,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 aberrant spirit (beholderkin, slaad, or star spawn), friendly (stat block/your lvl)."
2,Summon Beast,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 bestial spirit (air, land, or water), friendly (stat block/your lvl)."
5,Summon Celestial,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 celestial spirit (avenger or defender), friendly (stat block/your lvl)."
4,Summon Construct,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 spirit of a construct (clay, metal, or stone), friendly (stat block/your lvl)."
4,Summon Elemental,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 elemental spirit (air, earth, fire, or water), friendly (stat block/your lvl)."
3,Summon Fey,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 fey spirit (fuming, mirthful, or tricksy), friendly (stat block/your lvl)."
6,Summon Fiend,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 fiendish spirit (demon, devil, or yugoloth), friendly (stat block/your lvl)."
4,Summon Greater Demon,,Concentration,60 ft,"V,S,M",conjuration,1 action,"Summon 1 demon of CR 5, friendly (CR +1/lvl)."
3,Summon Lesser Demons,,Concentration,60 ft,"V,S,M",conjuration,1 action,"Summon 2 demons of CR 1 to 8 demons of CR 1/4, unfriendly (nbr of creatures/lvl)."
3,Summon Shadowspawn,,Concentration,90 ft,"V,S,M",conjuration,1 action,"Summon 1 shadowy spirit (fury, despair, or fear), friendly (stat block/your lvl)."
3,Summon Undead,,Concentration,90 ft,"V,S,M",necromancy,1 action,"Summon 1 undead spirit (ghostly, putrid, or skeletal), friendly (stat block/your lvl)."
6,Sunbeam,,Concentration,Self (60-ft line),"V,S,M",evocation,1 action,"Creatures on a 5-ft-wide, 60-ft-long line must succeed on a Con. save or take 6d8 radiant damage and be blinded."
8,Sunburst,,,150 ft,"V,S,M",evocation,1 action,Creatures in a 60-ft radius must succeed on a Con. save or take 12d6 radiant damage and be blinded for 1 min.
5,Swift Quiver,,Concentration,Touch,"V,S,M",transmutation,1 bonus action,"Make a quiver to produce an endless supply of nonmagical ammunition, allowing 2 attacks per round with a bonus action."
0,Sword Burst,,,Self (5-ft radius),V,conjuration,1 action,Creatures in a 5-ft radius must succeed on a Dex. save or take 1d6 force damage (damage/lvl).
7,Symbol,,,Touch,"V,S,M",abjuration,1 minute,"Set the trigger and the effect of a glyph on an object (death, discord, fear, hopelessness, insanity, pain, sleep, etc)."
5,Synaptic Static,,,120 ft,"V,S",enchantment,1 action,Creatures in a 20-ft radius must succeed on an Int. save or take 8d6 psychic damage.
1,Tasha's Caustic Brew,,Concentration,Self (30-ft line),"V,S,M",evocation,1 action,Creatures in a 30 ft long 5 ft wide line must succeed on a Dex. save or take 2d4 acid damage each turn (+2d4/lvl).
1,Tasha's Hideous Laughter,,Concentration,30 ft,"V,S,M",enchantment,1 action,"The target must succeed on a Wis. save or falls into fits of laughter, fall prone and becoming incapacitated."
2,Tasha's Mind Whip,,,90 ft,V,enchantment,1 action,Target must succeed on an Int. save or take 3d6 psychic damage and choose to move or take an action next turn (+1 creature/lvl).
6,Tasha's Otherworldly Guise,,Concentration,Self,"V,S,M",transmutation,1 bonus action,"Immune to fire/poison or radiant/necrotic damage, 40 ft flying speed, +2 AC bonus, weapons are magical, 2 attacks."
5,Telekinesis,,Concentration,60 ft,"V,S",transmutation,1 action,"Move a creature (Huge or smaller) or object (up to 1,000 pounds) by thought in case of successful contest."
8,Telepathy,,,Unlimited,"V,S,M",evocation,1 action,Comunicate via telepathy with a known and willing creature on the same plane of existence.
7,Teleport,,,10 ft,V,conjuration,1 action,The caster and 8 creatures are teleported anywhere on the same plane. Risk of failure depending on the destination familiarity.
5,Teleportation Circle,,,10 ft,"V,M",conjuration,1 minute,Create a circle that allows anyone to be teleported to another teleportation circle known to the caster.
7,Temple of the Gods,,,120 ft,"V,S,M",conjuration,1 hour,Let erupt a temple dedicated to a god on a 120 x 120 ft area for 1 day.
1,Tenser's Floating Disk,Ritual,,30 ft,"V,S,M",conjuration,1 action,Create a floating 3-ft-diameter disk that can support up to 500 pounds and follows the caster.
6,Tenser's Transformation,,Concentration,Self,"V,S,M",transmutation,1 action,"The caster gains 50 hp, advantage to attack rolls, an extra 2d12 force damage, martial proficiencies and two attacks per round."
0,Thaumaturgy,,,30 ft,V,transmutation,1 action,Create various minor effects to impress or distract creatures.
0,Thorn Whip,,,30 ft,"V,S,M",transmutation,1 action,"If the attack hits, deals 1d6 piercing damage and pull the target (Larger or smaller) up to 10 ft (damage/lvl)."
3,Thunder Step,,,90 ft,V,conjuration,1 action,The caster teleports and creatures within 10 ft must succeed on a Con. save or take 3d10 thunder damage.
0,Thunderclap,,,5 ft,S,evocation,1 action,Creatures within 5 ft must succeed on a Con. save or take 1d6 thunder damage (damage/lvl).
1,Thunderous Smite,,Concentration,Self,V,evocation,1 bonus action,"If the attack hits, deals an extra 2d6 thunder damage, and target must succeed on a Str. save or be pushed and knocked prone."
1,Thunderwave,,,Self (15-ft cube),"V,S",evocation,1 action,Creatures in a 15-ft cube must succeed on a Con. save or take 2d8 thunder damage (damage/lvl).
3,Tidal Wave,,,120 ft,"V,S,M",conjuration,1 action,Creatures in an 30 x 10 x 10 ft area must succeed on Dex. save or take 4d8 bludgeoning damage and be knocked prone.
9,Time Stop,,,Self,V,transmutation,1 action,Stop the time during 1d4+1 turns for everyone except for the caster.
3,Tiny Servant,,,Touch,"V,S",transmutation,1 minute,Transform one Tiny object into a creature with arms and legs under the caster control (+2 objects/lvl).
0,Toll the Dead,,,60 ft,"V,S",necromancy,1 action,The target must succeed on a Wis. save or take 1d8 or 1d12 necrotic damage (damage/lvl).
3,Tongues,,,Touch,"V,M",divination,1 action,The target understands and speaks any spoken language it hears.
5,Transmute Rock,,,120 ft,"V,S,M",transmutation,1 action,Transform a 40-ft cube of rock into mud or of mud into rock.
6,Transport via Plants,,,10 ft,"V,S",conjuration,1 action,The caster can move from one plant to another plant (Large or larger) using 5 ft.
5,Tree Stride,,Concentration,Self,"V,S",conjuration,1 action,The caster can move from one tree to another tree of the same kind (500 ft max between both) using 5 ft.
9,True Polymorph,,Concentration,30 ft,"V,S,M",transmutation,1 action,Transform a creature or object into a new form (creature <-> object) of FP/level at most equal to the FP/level of the crea
9,True Resurrection,,,Touch,"V,S,M",necromancy,1 hour,"Take back to life (all hp) a creature died for no longer than 200 years (except of old age), even without the original body."
6,True Seeing,,,Touch,"V,S,M",divination,1 action,"The target gets truesight, sees magic secret doors and in the Ethereal Plane."
0,True Strike,,Concentration,30 ft,S,divination,1 action,The caster gains advantage on his first attack roll against a target.
8,Tsunami,,Concentration,Sight,"V,S",conjuration,1 minute,"Creatures in a 300-ft-long, 300-ft-high, 50-ft-thick area must succeed on a Str. save or take 6d10 bludgeoning damage."
1,Unseen Servant,Ritual,,60 ft,"V,S,M",conjuration,1 action,"Create an invisible servant who performs simple tasks (bring something back, clean up, maintain a fire, serve at table, etc)."
3,Vampiric Touch,,Concentration,Self,"V,S",necromancy,1 action,"If the spell attack hits, deals 3d6 necrotic damage (damage/lvl) and the caster regains 50% of his hp."
0,Vicious Mockery,,,60 ft,V,enchantment,1 action,The target must succeed on a Wis. save or take 1d4 psychic damage and have disadvantage on its attack roll (damage/lvl).
4,Vitriolic Sphere,,,150 ft,"V,S,M",evocation,1 action,Creatures within 20-ft must succeed on a Dex. save or take 10d4 acid damage (damage/lvl) then 5d4 acid damage on its turn.
4,Wall of Fire,,Concentration,120 ft,"V,S,M",evocation,1 action,Create a 60 x 20 x 1 ft wall of fire. Creatures inside or within 10ft of one side of the wall take 5d8 fire damage (damage/lvl).
5,Wall of Force,,Concentration,120 ft,"V,S,M",evocation,1 action,Create a physically insurmountable wall of force (ten 10-ft panels) immune to all types of damage.
6,Wall of Ice,,Concentration,120 ft,"V,S,M",evocation,1 action,Create a wall of ice (ten 10-ft panels) that can be damaged and can inflict 5d6 cold damage if passed through (damage/lvl).
5,Wall of Light,,Concentration,120 ft,"V,S,M",evocation,1 action,"Create a 60-ft-long, 10-ft-high, 5-ft-thick wall of light that can deal 4d8 radiant damage to one target (damage/lvl)."
3,Wall of Sand,,Concentration,90 ft,"V,S,M",evocation,1 action,"Create a 30-ft-long, 10-ft-high, 10-ft-thick sand wall that blocks line of sight (blinded) but not movement."
5,Wall of Stone,,Concentration,120 ft,"V,S,M",evocation,1 action,Create a nonmagical wall of stone (ten 10-ft panels) that can be damaged.
6,Wall of Thorns,,Concentration,120 ft,"V,S,M",conjuration,1 action,"Create an 60-ft-long, 10-ft-high, 5-ft-thick wall of brush that slows movement and can inflict 7d8 piercing damage (damage/lvl)."
3,Wall of Water,,Concentration,60 ft,"V,S,M",evocation,1 action,"Create a 30-ft-long, 10-ft-high, 1-ft-thick wall of water that gives disadvantage on ranged attacks and halved fire damage."
2,Warding Bond,,,Touch,"V,S,M",abjuration,1 action,"The target gains +1 on AC, +1 on saving throws and resistance to all damage, but the caster shares damage."
2,Warding Wind,,Concentration,Self,V,evocation,1 action,"Create strong wind (20 miles/h) in a 10-ft radius (deafen, extinguish flames, hedge out gas, difficult terrain, etc)."
3,Water Breathing,Ritual,,30 ft,"V,S,M",transmutation,1 action,Up to 10 creatures gets the ability to breathe underwater.
3,Water Walk,Ritual,,30 ft,"V,S,M",transmutation,1 action,"Up to 10 creatures can move on a liquid surface (water, acid, mud, lava, etc) as if it were harmless solid ground."
4,Watery Sphere,,Concentration,90 ft,"V,S,M",conjuration,1 action,Up to 4 Medium creatures or 1 Large creature in a 10-ft radius must succeed on a Str. save or be restrained.
2,Web,,Concentration,60 ft,"V,S,M",conjuration,1 action,"Create a 20-ft cube filled by thick, sticky webs (difficult terrain) that can restrain creature (Dex. save)."
9,Weird,,Concentration,120 ft,"V,S",illusion,1 action,Creatures in a 30-ft-radius sphere must succeed on a Wis. save or be frightened and take 4d10 psychic damage each turn.
7,Whirlwind,,Concentration,300 ft,"V,M",evocation,1 action,"Creatures in a 10-ft-radius, 30-foot-high cylinder must succeed on a Dex. save or take 10d6 blunt damage."
6,Wind Walk,,,30 ft,"V,S,M",transmutation,1 minute,The caster and up to 10 creatures assume gaseous form (flying speed of 300 ft and resistance to damage from nonmagical weapon).
3,Wind Wall,,Concentration,120 ft,"V,S,M",evocation,1 action,"Create a 50-ft-long, 15-ft-high, 1-ft-thick wall of wind. Small flying creatures can't pass. Arrows and bolts are deflected."
9,Wish,,,Self,V,conjuration,1 action,"Duplicate a 8th level spell or lower without components, or create another effect at the MD discretion."
1,Witch Bolt,,Concentration,30 ft,"V,S,M",evocation,1 action,"If the spell attack hits, deals 1d12 lightning damage (damage/lvl) on each round."
0,Word of Radiance,,,5 ft,"V,M",evocation,1 action,Creatures in a 5-ft radius must succeed on a Con. save or take 1d6 radiant damage (/lvl).
6,Word of Recall,,,5 ft,V,conjuration,1 action,The caster and up to 5 other creatures are teleported to a previously designated sanctuary.
5,Wrath of Nature,,Concentration,120 ft,"V,S",evocation,1 action,"Animate trees, rocks, and grasses in a 60 x 60 x 60 ft cube."
1,Wrathful Smite,,Concentration,Self,V,evocation,1 bonus action,"If the attack hits, deals an extra 1d6 psychic damage and the target must succeed on a Wis. save or be frightened."
1,Zephyr Strike,,Concentration,Self,V,transmutation,1 bonus action,The caster's movement (+30 ft) doesn't provoque OA and he gets advantage to one attack roll that deals an extra 1d8 force.
2,Zone of Truth,,,60 ft,"V,S",enchantment,1 action,Creatures within a 15-ft-radius sphere must succeed on a Cha. save or can not lie.